0.00000 0.00000000 0.00000000
0.00100 0.00000574 -0.00000574
0.00200 0.00001148 -0.00001149
0.00300 0.00001721 -0.00001721
0.00400 0.00002292 -0.00002292
0.00500 0.00002860 -0.00002859
0.00600 0.00003425 -0.00003423
0.00700 0.00003986 -0.00003982
0.00800 0.00004543 -0.00004537
0.00900 0.00005093 -0.00005087
0.01000 0.00005638 -0.00005630
0.01100 0.00006176 -0.00006167
0.01200 0.00006707 -0.00006696
0.01300 0.00007231 -0.00007217
0.01400 0.00007746 -0.00007731
0.01500 0.00008252 -0.00008234
0.01600 0.00008748 -0.00008728
0.01700 0.00009234 -0.00009212
0.01800 0.00009710 -0.00009685
0.01900 0.00010176 -0.00010148
0.02000 0.00010630 -0.00010599
0.02100 0.00011072 -0.00011038
0.02200 0.00011503 -0.00011465
0.02300 0.00011921 -0.00011880
0.02400 0.00012325 -0.00012282
0.02500 0.00012717 -0.00012671
0.02600 0.00013096 -0.00013047
0.02700 0.00013461 -0.00013409
0.02800 0.00013813 -0.00013757
0.02900 0.00014151 -0.00014092
0.03000 0.00014475 -0.00014413
0.03100 0.00014785 -0.00014720
0.03200 0.00015080 -0.00015013
0.03300 0.00015361 -0.00015292
0.03400 0.00015628 -0.00015557
0.03500 0.00015881 -0.00015808
0.03600 0.00016120 -0.00016045
0.03700 0.00016346 -0.00016268
0.03800 0.00016557 -0.00016477
0.03900 0.00016755 -0.00016673
0.04000 0.00016939 -0.00016855
0.04100 0.00017110 -0.00017025
0.04200 0.00017267 -0.00017181
0.04300 0.00017412 -0.00017324
0.04400 0.00017545 -0.00017456
0.04500 0.00017665 -0.00017575
0.04600 0.00017774 -0.00017683
0.04700 0.00017871 -0.00017779
0.04800 0.00017957 -0.00017865
0.04900 0.00018033 -0.00017940
0.05000 0.00018097 -0.00018005
0.05100 0.00018153 -0.00018060
0.05200 0.00018199 -0.00018106
0.05300 0.00018235 -0.00018144
0.05400 0.00018264 -0.00018173
0.05500 0.00018284 -0.00018194
0.05600 0.00018297 -0.00018208
0.05700 0.00018303 -0.00018215
0.05800 0.00018303 -0.00018217
0.05900 0.00018296 -0.00018211
0.06000 0.00018284 -0.00018201
0.06100 0.00018268 -0.00018186
0.06200 0.00018246 -0.00018167
0.06300 0.00018221 -0.00018143
0.06400 0.00018193 -0.00018117
0.06500 0.00018162 -0.00018087
0.06600 0.00018127 -0.00018055
0.06700 0.00018091 -0.00018021
0.06800 0.00018054 -0.00017986
0.06900 0.00018016 -0.00017950
0.07000 0.00017977 -0.00017913
0.07100 0.00017938 -0.00017876
0.07200 0.00017899 -0.00017839
0.07300 0.00017861 -0.00017802
0.07400 0.00017823 -0.00017767
0.07500 0.00017788 -0.00017734
0.07600 0.00017753 -0.00017702
0.07700 0.00017721 -0.00017671
0.07800 0.00017692 -0.00017644
0.07900 0.00017665 -0.00017619
0.08000 0.00017641 -0.00017597
0.08100 0.00017621 -0.00017577
0.08200 0.00017603 -0.00017562
0.08300 0.00017589 -0.00017549
0.08400 0.00017580 -0.00017540
0.08500 0.00017574 -0.00017536
0.08600 0.00017573 -0.00017535
0.08700 0.00017575 -0.00017538
0.08800 0.00017582 -0.00017545
0.08900 0.00017593 -0.00017557
0.09000 0.00017608 -0.00017572
0.09100 0.00017627 -0.00017592
0.09200 0.00017651 -0.00017615
0.09300 0.00017679 -0.00017643
0.09400 0.00017711 -0.00017675
0.09500 0.00017747 -0.00017711
0.09600 0.00017787 -0.00017750
0.09700 0.00017831 -0.00017793
0.09800 0.00017878 -0.00017839
0.09900 0.00017928 -0.00017888
0.10000 0.00017982 -0.00017941
0.10100 0.00018039 -0.00017997
0.10200 0.00018098 -0.00018056
0.10300 0.00018161 -0.00018117
0.10400 0.00018226 -0.00018180
0.10500 0.00018292 -0.00018245
0.10600 0.00018360 -0.00018312
0.10700 0.00018431 -0.00018381
0.10800 0.00018502 -0.00018451
0.10900 0.00018574 -0.00018521
0.11000 0.00018647 -0.00018592
0.11100 0.00018720 -0.00018664
0.11200 0.00018793 -0.00018735
0.11300 0.00018866 -0.00018807
0.11400 0.00018938 -0.00018878
0.11500 0.00019009 -0.00018947
0.11600 0.00019079 -0.00019015
0.11700 0.00019147 -0.00019082
0.11800 0.00019214 -0.00019147
0.11900 0.00019278 -0.00019211
0.12000 0.00019339 -0.00019271
0.12100 0.00019398 -0.00019328
0.12200 0.00019454 -0.00019383
0.12300 0.00019506 -0.00019434
0.12400 0.00019556 -0.00019482
0.12500 0.00019600 -0.00019525
0.12600 0.00019640 -0.00019564
0.12700 0.00019677 -0.00019600
0.12800 0.00019709 -0.00019632
0.12900 0.00019736 -0.00019658
0.13000 0.00019758 -0.00019680
0.13100 0.00019775 -0.00019696
0.13200 0.00019787 -0.00019708
0.13300 0.00019792 -0.00019714
0.13400 0.00019793 -0.00019714
0.13500 0.00019788 -0.00019709
0.13600 0.00019777 -0.00019698
0.13700 0.00019760 -0.00019681
0.13800 0.00019738 -0.00019659
0.13900 0.00019710 -0.00019631
0.14000 0.00019675 -0.00019597
0.14100 0.00019635 -0.00019558
0.14200 0.00019590 -0.00019512
0.14300 0.00019538 -0.00019462
0.14400 0.00019481 -0.00019405
0.14500 0.00019418 -0.00019343
0.14600 0.00019349 -0.00019275
0.14700 0.00019275 -0.00019202
0.14800 0.00019196 -0.00019125
0.14900 0.00019113 -0.00019042
0.15000 0.00019024 -0.00018955
0.15100 0.00018930 -0.00018863
0.15200 0.00018832 -0.00018766
0.15300 0.00018729 -0.00018664
0.15400 0.00018623 -0.00018559
